Time,OD
0,0.116
10,0.116
20,0.117
30,0.117
40,0.118
50,0.118
60,0.118
70,0.12
80,0.12
90,0.12
100,0.121
110,0.122
120,0.123
130,0.123
140,0.124
150,0.125
160,0.125
170,0.127
180,0.127
190,0.128
200,0.129
210,0.13
220,0.132
230,0.133
240,0.135
250,0.136
260,0.138
270,0.139
280,0.141
290,0.143
300,0.146
310,0.147
320,0.15
330,0.153
340,0.156
350,0.159
360,0.162
370,0.166
380,0.17
390,0.173
400,0.177
410,0.181
420,0.183
430,0.187
440,0.191
450,0.193
460,0.197
470,0.201
480,0.205
490,0.209
500,0.211
510,0.212
520,0.213
530,0.214
540,0.215
550,0.216
560,0.217
570,0.218
580,0.218
590,0.217
600,0.218
610,0.217
620,0.216
630,0.214
640,0.214
650,0.213
660,0.212
670,0.211
680,0.212
690,0.211
700,0.21
710,0.21
720,0.21
730,0.21
740,0.21
750,0.211
760,0.21
770,0.21
780,0.211
790,0.212
800,0.212
810,0.212
820,0.213
830,0.213
840,0.215
850,0.216
860,0.217
870,0.218
880,0.219
890,0.221
900,0.222
910,0.224
920,0.226
930,0.228
940,0.229
950,0.232
960,0.234
