Time,OD
0,0.119
10,0.119
20,0.119
30,0.119
40,0.119
50,0.119
60,0.119
70,0.119
80,0.118
90,0.118
100,0.118
110,0.118
120,0.118
130,0.118
140,0.118
150,0.118
160,0.118
170,0.118
180,0.118
190,0.118
200,0.118
210,0.118
220,0.117
230,0.118
240,0.118
250,0.117
260,0.118
270,0.117
280,0.117
290,0.118
300,0.117
310,0.117
320,0.117
330,0.117
340,0.117
350,0.117
360,0.117
370,0.117
380,0.117
390,0.117
400,0.117
410,0.117
420,0.117
430,0.117
440,0.117
450,0.117
460,0.117
470,0.117
480,0.117
490,0.117
500,0.117
510,0.117
520,0.117
530,0.117
540,0.116
550,0.117
560,0.116
570,0.116
580,0.117
590,0.117
600,0.116
610,0.116
620,0.117
630,0.116
640,0.116
650,0.116
660,0.117
670,0.116
680,0.116
690,0.116
700,0.117
710,0.116
720,0.116
730,0.116
740,0.116
750,0.116
760,0.116
770,0.116
780,0.116
790,0.116
800,0.116
810,0.116
820,0.116
830,0.116
840,0.116
850,0.116
860,0.116
870,0.116
880,0.116
890,0.116
900,0.116
910,0.116
920,0.116
930,0.116
940,0.116
950,0.116
960,0.116
