Time,OD
0,0.121
10,0.12
20,0.121
30,0.121
40,0.121
50,0.121
60,0.121
70,0.121
80,0.121
90,0.121
100,0.121
110,0.121
120,0.122
130,0.121
140,0.122
150,0.122
160,0.122
170,0.123
180,0.123
190,0.123
200,0.123
210,0.124
220,0.124
230,0.125
240,0.125
250,0.126
260,0.126
270,0.127
280,0.127
290,0.128
300,0.129
310,0.129
320,0.131
330,0.131
340,0.132
350,0.132
360,0.133
370,0.134
380,0.135
390,0.136
400,0.137
410,0.138
420,0.139
430,0.14
440,0.141
450,0.143
460,0.144
470,0.145
480,0.147
490,0.148
500,0.149
510,0.151
520,0.153
530,0.154
540,0.156
550,0.158
560,0.159
570,0.162
580,0.164
590,0.166
600,0.168
610,0.17
620,0.172
630,0.174
640,0.176
650,0.177
660,0.18
670,0.183
680,0.185
690,0.188
700,0.191
710,0.193
720,0.196
730,0.2
740,0.203
750,0.206
760,0.208
770,0.21
780,0.211
790,0.212
800,0.213
810,0.214
820,0.216
830,0.218
840,0.22
850,0.221
860,0.224
870,0.226
880,0.229
890,0.231
900,0.234
910,0.237
920,0.241
930,0.245
940,0.249
950,0.253
960,0.258
