Time,OD
0,0.119
10,0.119
20,0.119
30,0.12
40,0.12
50,0.122
60,0.123
70,0.124
80,0.125
90,0.125
100,0.125
110,0.126
120,0.125
130,0.125
140,0.124
150,0.123
160,0.122
170,0.122
180,0.121
190,0.121
200,0.12
210,0.12
220,0.12
230,0.12
240,0.119
250,0.119
260,0.119
270,0.118
280,0.118
290,0.118
300,0.117
310,0.118
320,0.118
330,0.118
340,0.117
350,0.117
360,0.117
370,0.117
380,0.117
390,0.117
400,0.117
410,0.117
420,0.117
430,0.117
440,0.117
450,0.117
460,0.116
470,0.116
480,0.117
490,0.116
500,0.116
510,0.116
520,0.117
530,0.116
540,0.116
550,0.116
560,0.116
570,0.116
580,0.116
590,0.116
600,0.116
610,0.116
620,0.116
630,0.116
640,0.115
650,0.116
660,0.115
670,0.116
680,0.116
690,0.116
700,0.116
710,0.116
720,0.116
730,0.116
740,0.115
750,0.115
760,0.115
770,0.115
780,0.115
790,0.115
800,0.115
810,0.115
820,0.115
830,0.115
840,0.115
850,0.115
860,0.115
870,0.115
880,0.115
890,0.115
900,0.114
910,0.115
920,0.115
930,0.115
940,0.115
950,0.114
960,0.115
