Time,OD
0,0.12
10,0.12
20,0.121
30,0.122
40,0.123
50,0.124
60,0.127
70,0.13
80,0.133
90,0.139
100,0.146
110,0.157
120,0.171
130,0.19
140,0.218
150,0.24
160,0.265
170,0.303
180,0.336
190,0.368
200,0.405
210,0.447
220,0.486
230,0.53
240,0.553
250,0.567
260,0.577
270,0.587
280,0.595
290,0.604
300,0.612
310,0.62
320,0.625
330,0.63
340,0.635
350,0.638
360,0.642
370,0.646
380,0.648
390,0.651
400,0.653
410,0.655
420,0.657
430,0.659
440,0.661
450,0.662
460,0.664
470,0.665
480,0.666
490,0.667
500,0.668
510,0.669
520,0.671
530,0.672
540,0.672
550,0.673
560,0.674
570,0.675
580,0.676
590,0.677
600,0.678
610,0.679
620,0.68
630,0.681
640,0.682
650,0.682
660,0.683
670,0.684
680,0.684
690,0.686
700,0.686
710,0.687
720,0.687
730,0.688
740,0.689
750,0.689
760,0.69
770,0.69
780,0.691
790,0.692
800,0.692
810,0.693
820,0.694
830,0.694
840,0.695
850,0.695
860,0.696
870,0.697
880,0.696
890,0.698
900,0.697
910,0.698
920,0.698
930,0.699
940,0.699
950,0.7
960,0.7
