Time,OD
0,0.118
10,0.118
20,0.118
30,0.119
40,0.12
50,0.12
60,0.122
70,0.123
80,0.125
90,0.127
100,0.129
110,0.132
120,0.135
130,0.138
140,0.142
150,0.146
160,0.15
170,0.155
180,0.158
190,0.161
200,0.162
210,0.163
220,0.162
230,0.161
240,0.158
250,0.155
260,0.153
270,0.151
280,0.149
290,0.148
300,0.146
310,0.145
320,0.144
330,0.142
340,0.141
350,0.14
360,0.139
370,0.138
380,0.137
390,0.136
400,0.134
410,0.134
420,0.133
430,0.132
440,0.131
450,0.131
460,0.13
470,0.129
480,0.129
490,0.128
500,0.128
510,0.127
520,0.127
530,0.127
540,0.126
550,0.126
560,0.126
570,0.125
580,0.125
590,0.125
600,0.124
610,0.124
620,0.124
630,0.124
640,0.124
650,0.124
660,0.123
670,0.123
680,0.123
690,0.123
700,0.123
710,0.123
720,0.123
730,0.123
740,0.123
750,0.123
760,0.123
770,0.122
780,0.123
790,0.122
800,0.122
810,0.122
820,0.122
830,0.122
840,0.122
850,0.122
860,0.122
870,0.122
880,0.122
890,0.122
900,0.122
910,0.122
920,0.122
930,0.122
940,0.122
950,0.122
960,0.122
